,miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez Gene ID),Species (Target Gene),Experiments,Support Type,References (PMID)
227795,MIRT528604,hsa-miR-126-5p,Homo sapiens,ZNF326,284695.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
232722,MIRT532873,hsa-miR-126-5p,Homo sapiens,ZNF566,84924.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
238412,MIRT537648,hsa-miR-126-5p,Homo sapiens,ERGIC2,51290.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
238413,MIRT537648,hsa-miR-126-5p,Homo sapiens,ERGIC2,51290.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
239108,MIRT538244,hsa-miR-126-5p,Homo sapiens,CXorf23,256643.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
239911,MIRT538882,hsa-miR-126-5p,Homo sapiens,BTBD1,53339.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
247466,MIRT544757,hsa-miR-126-5p,Homo sapiens,C8orf33,65265.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
248262,MIRT545417,hsa-miR-126-3p,Homo sapiens,SLC39A6,25800.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
250463,MIRT547145,hsa-miR-126-5p,Homo sapiens,PGM3,5238.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
252459,MIRT548677,hsa-miR-126-5p,Homo sapiens,CRNKL1,51340.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
254363,MIRT550159,hsa-miR-126-5p,Homo sapiens,ZNF223,7766.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
254364,MIRT550159,hsa-miR-126-5p,Homo sapiens,ZNF223,7766.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
255555,MIRT551097,hsa-miR-126-5p,Homo sapiens,TTC8,123016.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
257492,MIRT552633,hsa-miR-126-5p,Homo sapiens,ZBTB41,360023.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
264547,MIRT558542,hsa-miR-126-5p,Homo sapiens,CSNK1G3,1456.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
264548,MIRT558542,hsa-miR-126-5p,Homo sapiens,CSNK1G3,1456.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
265000,MIRT558912,hsa-miR-126-5p,Homo sapiens,CBX5,23468.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
265734,MIRT559508,hsa-miR-126-5p,Homo sapiens,ARID5B,84159.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
265735,MIRT559508,hsa-miR-126-5p,Homo sapiens,ARID5B,84159.0,Homo sapiens,PAR-CLIP//HITS-CLIP,Functional MTI (Weak),21572407
265808,MIRT559548,hsa-miR-126-5p,Homo sapiens,ARGLU1,55082.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
265939,MIRT559667,hsa-miR-126-5p,Homo sapiens,AGO3,192669.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
266896,MIRT560577,hsa-miR-126-5p,Homo sapiens,ZNF460,10794.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
268071,MIRT561730,hsa-miR-126-5p,Homo sapiens,PPIF,10105.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
268192,MIRT561851,hsa-miR-126-5p,Homo sapiens,NPTX1,4884.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
269117,MIRT562750,hsa-miR-126-5p,Homo sapiens,AOC3,8639.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
269514,MIRT563141,hsa-miR-126-5p,Homo sapiens,NOLC1,9221.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
269748,MIRT563375,hsa-miR-126-5p,Homo sapiens,DSPP,1834.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
275148,MIRT568554,hsa-miR-126-3p,Homo sapiens,AKT2,208.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
288993,MIRT611430,hsa-miR-126-5p,Homo sapiens,UGT8,7368.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
288994,MIRT611430,hsa-miR-126-5p,Homo sapiens,UGT8,7368.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
291632,MIRT613368,hsa-miR-126-3p,Homo sapiens,ACVR2B,93.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
293322,MIRT614772,hsa-miR-126-3p,Homo sapiens,SLC41A2,84102.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
293323,MIRT614772,hsa-miR-126-3p,Homo sapiens,SLC41A2,84102.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
297677,MIRT618742,hsa-miR-126-5p,Homo sapiens,KIF1B,23095.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
302977,MIRT623682,hsa-miR-126-5p,Homo sapiens,HOXB6,3216.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
303044,MIRT623746,hsa-miR-126-3p,Homo sapiens,GRIN2B,2904.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
319894,MIRT639513,hsa-miR-126-5p,Homo sapiens,FYB,2533.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
322453,MIRT641911,hsa-miR-126-5p,Homo sapiens,SMARCC2,6601.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
338210,MIRT657335,hsa-miR-126-5p,Homo sapiens,HNRNPDL,9987.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
380171,MIRT697667,hsa-miR-126-5p,Homo sapiens,WNK1,65125.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
381388,MIRT698879,hsa-miR-126-5p,Homo sapiens,SPTY2D1,144108.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
384226,MIRT701668,hsa-miR-126-5p,Homo sapiens,MYBL1,4603.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
386467,MIRT703877,hsa-miR-126-5p,Homo sapiens,ERCC6,2074.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
387355,MIRT704765,hsa-miR-126-5p,Homo sapiens,CDKN2AIPNL,91368.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
390351,MIRT707761,hsa-miR-126-5p,Homo sapiens,ZBTB7A,51341.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),21572407
390650,MIRT708057,hsa-miR-126-5p,Homo sapiens,LONRF3,79836.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),21572407
392583,MIRT709996,hsa-miR-126-5p,Homo sapiens,IFIT1,3434.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
396086,MIRT713505,hsa-miR-126-5p,Homo sapiens,DCAF17,80067.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
402794,MIRT720242,hsa-miR-126-5p,Homo sapiens,GPBP1,65056.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
403659,MIRT721111,hsa-miR-126-5p,Homo sapiens,MYCBP2,23077.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
406796,MIRT724258,hsa-miR-126-5p,Homo sapiens,GLUD1,2746.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
407921,MIRT725385,hsa-miR-126-5p,Homo sapiens,METTL8,79828.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
