No.,miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez Gene ID),Species (Target Gene),Experiments,Support Type,References (PMID)
368307,MIRT660174,hsa-miR-4713-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
368319,MIRT660186,hsa-miR-4723-3p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
368313,MIRT660180,hsa-miR-510-3p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
368309,MIRT660176,hsa-miR-513c-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
368308,MIRT660175,hsa-miR-514b-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
368306,MIRT660173,hsa-miR-516a-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
319274,MIRT615467,hsa-miR-520g-3p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
319273,MIRT615466,hsa-miR-520h,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
329624,MIRT624544,hsa-miR-545-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
319278,MIRT615469,hsa-miR-561-3p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
319279,MIRT615469,hsa-miR-561-3p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
308808,MIRT608824,hsa-miR-567,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),24906430
308809,MIRT608824,hsa-miR-567,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
486108,MIRT774985,hsa-miR-568,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
304422,MIRT606979,hsa-miR-574-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),24906430
304423,MIRT606979,hsa-miR-574-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
76815,MIRT228097,hsa-miR-629-3p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
155715,MIRT480739,hsa-miR-6510-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
155716,MIRT480739,hsa-miR-6510-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),24398324
155717,MIRT480739,hsa-miR-6510-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
155718,MIRT480739,hsa-miR-6510-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23706177
155719,MIRT480739,hsa-miR-6510-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
155720,MIRT480739,hsa-miR-6510-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
155721,MIRT480739,hsa-miR-6510-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
155738,MIRT480743,hsa-miR-6731-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
155739,MIRT480743,hsa-miR-6731-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),24398324
155740,MIRT480743,hsa-miR-6731-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
155741,MIRT480743,hsa-miR-6731-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23706177
155742,MIRT480743,hsa-miR-6731-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
155743,MIRT480743,hsa-miR-6731-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
155744,MIRT480743,hsa-miR-6731-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
368310,MIRT660177,hsa-miR-6740-3p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
155773,MIRT480748,hsa-miR-6758-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
155774,MIRT480748,hsa-miR-6758-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),24398324
155775,MIRT480748,hsa-miR-6758-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
155776,MIRT480748,hsa-miR-6758-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23706177
155777,MIRT480748,hsa-miR-6758-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
155778,MIRT480748,hsa-miR-6758-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
155779,MIRT480748,hsa-miR-6758-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
368318,MIRT660185,hsa-miR-6769b-3p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
318849,MIRT615103,hsa-miR-6855-3p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
318850,MIRT615103,hsa-miR-6855-3p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
318851,MIRT615103,hsa-miR-6855-3p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
155766,MIRT480747,hsa-miR-6856-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
155767,MIRT480747,hsa-miR-6856-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),24398324
155768,MIRT480747,hsa-miR-6856-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
155769,MIRT480747,hsa-miR-6856-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23706177
155770,MIRT480747,hsa-miR-6856-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
155771,MIRT480747,hsa-miR-6856-5p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
155772,MIRT480747,hsa-miR-6856-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
318846,MIRT615102,hsa-miR-6857-3p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
318847,MIRT615102,hsa-miR-6857-3p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
318848,MIRT615102,hsa-miR-6857-3p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
368305,MIRT660172,hsa-miR-6867-3p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
304424,MIRT606980,hsa-miR-6867-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),24906430
304425,MIRT606980,hsa-miR-6867-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
368316,MIRT660183,hsa-miR-7113-3p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
329621,MIRT624541,hsa-miR-7152-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
304426,MIRT606981,hsa-miR-8064,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),24906430
304427,MIRT606981,hsa-miR-8064,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
304428,MIRT606981,hsa-miR-8064,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
155731,MIRT480742,hsa-miR-8085,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
155732,MIRT480742,hsa-miR-8085,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),24398324
155733,MIRT480742,hsa-miR-8085,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
155734,MIRT480742,hsa-miR-8085,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23706177
155735,MIRT480742,hsa-miR-8085,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
155736,MIRT480742,hsa-miR-8085,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
155737,MIRT480742,hsa-miR-8085,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
316339,MIRT613283,hsa-miR-8485,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
316340,MIRT613283,hsa-miR-8485,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
318843,MIRT615101,hsa-miR-873-3p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
318844,MIRT615101,hsa-miR-873-3p,Homo sapiens,BNC2,54796,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
318845,MIRT615101,hsa-miR-873-3p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
304429,MIRT606982,hsa-miR-892a,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),24906430
304430,MIRT606982,hsa-miR-892a,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
368311,MIRT660178,hsa-miR-942-5p,Homo sapiens,BNC2,54796,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
100333,MIRT445917,hsa-miR-1264,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
275896,MIRT550785,hsa-miR-1277-5p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP//HITS-CLIP,Functional MTI (Weak),21572407
275897,MIRT550785,hsa-miR-1277-5p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
275898,MIRT550785,hsa-miR-1277-5p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
213251,MIRT509207,hsa-miR-190a-3p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
213252,MIRT509207,hsa-miR-190a-3p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP//HITS-CLIP,Functional MTI (Weak),21572407
213253,MIRT509207,hsa-miR-190a-3p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
213254,MIRT509207,hsa-miR-190a-3p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
32649,MIRT041195,hsa-miR-193b-3p,Homo sapiens,BRCC3,79184,Homo sapiens,CLASH,Functional MTI (Weak),23622248
100332,MIRT445916,hsa-miR-208a-5p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
100331,MIRT445915,hsa-miR-208b-5p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
368288,MIRT660155,hsa-miR-2115-5p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
213258,MIRT509209,hsa-miR-223-5p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
213259,MIRT509209,hsa-miR-223-5p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP//HITS-CLIP,Functional MTI (Weak),21572407
213260,MIRT509209,hsa-miR-223-5p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
213261,MIRT509209,hsa-miR-223-5p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
213249,MIRT509206,hsa-miR-297,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
213250,MIRT509206,hsa-miR-297,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP//HITS-CLIP,Functional MTI (Weak),21572407
241650,MIRT524738,hsa-miR-3121-5p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
241651,MIRT524738,hsa-miR-3121-5p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP//HITS-CLIP,Functional MTI (Weak),21572407
241652,MIRT524738,hsa-miR-3121-5p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
368284,MIRT660151,hsa-miR-3157-5p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
100334,MIRT445918,hsa-miR-3184-3p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
100328,MIRT445912,hsa-miR-3616-5p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
368293,MIRT660160,hsa-miR-4269,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
368291,MIRT660158,hsa-miR-4514,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
100329,MIRT445913,hsa-miR-4635,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
264102,MIRT541941,hsa-miR-4652-3p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP//HITS-CLIP,Functional MTI (Weak),21572407
368295,MIRT660162,hsa-miR-4691-3p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
368290,MIRT660157,hsa-miR-4692,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
368294,MIRT660161,hsa-miR-4742-5p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
264103,MIRT541942,hsa-miR-4743-3p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP//HITS-CLIP,Functional MTI (Weak),21572407
264104,MIRT541943,hsa-miR-5011-5p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP//HITS-CLIP,Functional MTI (Weak),21572407
264105,MIRT541943,hsa-miR-5011-5p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
264106,MIRT541943,hsa-miR-5011-5p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
213267,MIRT509212,hsa-miR-511-3p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
213268,MIRT509212,hsa-miR-511-3p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP//HITS-CLIP,Functional MTI (Weak),21572407
213269,MIRT509212,hsa-miR-511-3p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
368287,MIRT660154,hsa-miR-516a-3p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
368286,MIRT660153,hsa-miR-516b-3p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
213262,MIRT509210,hsa-miR-567,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
213263,MIRT509210,hsa-miR-567,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP//HITS-CLIP,Functional MTI (Weak),21572407
100327,MIRT445911,hsa-miR-573,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
213264,MIRT509211,hsa-miR-574-5p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
213265,MIRT509211,hsa-miR-574-5p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP//HITS-CLIP,Functional MTI (Weak),21572407
213266,MIRT509211,hsa-miR-574-5p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
368296,MIRT660163,hsa-miR-596,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
368297,MIRT660164,hsa-miR-670-3p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
368292,MIRT660159,hsa-miR-6715b-5p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
368289,MIRT660156,hsa-miR-6849-3p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
213255,MIRT509208,hsa-miR-6867-5p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
213256,MIRT509208,hsa-miR-6867-5p,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP//HITS-CLIP,Functional MTI (Weak),21572407
213257,MIRT509208,hsa-miR-6867-5p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),27418678
368285,MIRT660152,hsa-miR-7162-5p,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
100330,MIRT445914,hsa-miR-7705,Homo sapiens,BRCC3,79184,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
368283,MIRT660150,hsa-miR-7977,Homo sapiens,BRCC3,79184,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
40952,MIRT049186,hsa-miR-92a-3p,Homo sapiens,BRCC3,79184,Homo sapiens,CLASH,Functional MTI (Weak),23622248
38822,MIRT047176,hsa-miR-182-5p,Homo sapiens,BRIP1,83990,Homo sapiens,CLASH,Functional MTI (Weak),23622248
19812,MIRT026770,hsa-miR-192-5p,Homo sapiens,BRIP1,83990,Homo sapiens,Microarray,Functional MTI (Weak),19074876
17373,MIRT024519,hsa-miR-215-5p,Homo sapiens,BRIP1,83990,Homo sapiens,Microarray,Functional MTI (Weak),19074876
476811,MIRT765771,hsa-miR-34b-3p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
477070,MIRT766029,hsa-miR-3614-5p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
478099,MIRT767052,hsa-miR-3689d,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
35482,MIRT043978,hsa-miR-378a-5p,Homo sapiens,BRIP1,83990,Homo sapiens,CLASH,Functional MTI (Weak),23622248
478812,MIRT767758,hsa-miR-3929,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
479141,MIRT768084,hsa-miR-4254,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
479819,MIRT768754,hsa-miR-4419b,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
480574,MIRT769505,hsa-miR-4478,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
481355,MIRT770275,hsa-miR-455-3p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
481700,MIRT770615,hsa-miR-4649-3p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
482628,MIRT771533,hsa-miR-4722-5p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
483157,MIRT772059,hsa-miR-4768-3p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
483799,MIRT772695,hsa-miR-490-3p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
483868,MIRT772764,hsa-miR-493-3p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
484435,MIRT773322,hsa-miR-510-5p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
484473,MIRT773359,hsa-miR-512-5p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
487176,MIRT776037,hsa-miR-619-3p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
487350,MIRT776206,hsa-miR-6499-3p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
487581,MIRT776436,hsa-miR-6500-3p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
488222,MIRT777071,hsa-miR-6516-5p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
490826,MIRT779646,hsa-miR-6808-5p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
491579,MIRT780390,hsa-miR-6851-5p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
492379,MIRT781179,hsa-miR-6893-5p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
492789,MIRT781589,hsa-miR-7160-5p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
493465,MIRT782253,hsa-miR-7854-3p,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
494097,MIRT782873,hsa-miR-940,Homo sapiens,BRIP1,83990,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
35831,MIRT044300,hsa-miR-106b-5p,Homo sapiens,BRWD1,54014,Homo sapiens,CLASH,Functional MTI (Weak),23622248
63954,MIRT119141,hsa-miR-10b-3p,Homo sapiens,BRWD1,54014,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
14945,MIRT022230,hsa-miR-124-3p,Homo sapiens,BRWD1,54014,Homo sapiens,Microarray,Functional MTI (Weak),18668037
73879,MIRT203594,hsa-miR-1271-5p,Homo sapiens,BRWD1,54014,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
417899,MIRT705228,hsa-miR-1283,Homo sapiens,BRWD1,54014,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
37454,MIRT045856,hsa-miR-128-3p,Homo sapiens,BRWD1,54014,Homo sapiens,CLASH,Functional MTI (Weak),23622248
273674,MIRT549136,hsa-miR-130a-3p,Homo sapiens,BRWD1,54014,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
273675,MIRT549136,hsa-miR-130a-3p,Homo sapiens,BRWD1,54014,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
90496,MIRT399757,hsa-miR-130a-5p,Homo sapiens,BRWD1,54014,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
12496,MIRT020133,hsa-miR-130b-3p,Homo sapiens,BRWD1,54014,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
12497,MIRT020133,hsa-miR-130b-3p,Homo sapiens,BRWD1,54014,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
12498,MIRT020133,hsa-miR-130b-3p,Homo sapiens,BRWD1,54014,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
273684,MIRT549141,hsa-miR-132-3p,Homo sapiens,BRWD1,54014,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
446300,MIRT737641,hsa-miR-146a-5p,Homo sapiens,BRWD1,54014,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
446307,MIRT737648,hsa-miR-146b-5p,Homo sapiens,BRWD1,54014,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
43345,MIRT051333,hsa-miR-15a-5p,Homo sapiens,BRWD1,54014,Homo sapiens,CLASH,Functional MTI (Weak),23622248
417890,MIRT705219,hsa-miR-16-1-3p,Homo sapiens,BRWD1,54014,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
73878,MIRT203593,hsa-miR-182-5p,Homo sapiens,BRWD1,54014,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
417900,MIRT705229,hsa-miR-183-5p,Homo sapiens,BRWD1,54014,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
417895,MIRT705224,hsa-miR-187-5p,Homo sapiens,BRWD1,54014,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
39979,MIRT048284,hsa-miR-192-5p,Homo sapiens,BRWD1,54014,Homo sapiens,CLASH,Functional MTI (Weak),23622248
39980,MIRT048284,hsa-miR-192-5p,Homo sapiens,BRWD1,54014,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
83690,MIRT298581,hsa-miR-19a-3p,Homo sapiens,BRWD1,54014,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
83691,MIRT298581,hsa-miR-19a-3p,Homo sapiens,BRWD1,54014,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
83692,MIRT298582,hsa-miR-19b-3p,Homo sapiens,BRWD1,54014,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
83693,MIRT298582,hsa-miR-19b-3p,Homo sapiens,BRWD1,54014,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
273685,MIRT549142,hsa-miR-212-3p,Homo sapiens,BRWD1,54014,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
417881,MIRT705210,hsa-miR-215-5p,Homo sapiens,BRWD1,54014,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
417902,MIRT705231,hsa-miR-221-3p,Homo sapiens,BRWD1,54014,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
417901,MIRT705230,hsa-miR-222-3p,Homo sapiens,BRWD1,54014,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
90494,MIRT399755,hsa-miR-23a-3p,Homo sapiens,BRWD1,54014,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
90495,MIRT399756,hsa-miR-23b-3p,Homo sapiens,BRWD1,54014,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
90497,MIRT399761,hsa-miR-23c,Homo sapiens,BRWD1,54014,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
